kernel,dtype,align,stride,N,build,median_ms,stdev_ms,gflops,cpe
saxpy,f32,aligned,1,4096,scalar,0.0007481988703050656,3.740994351525328e-05,10.948960664241378,0.7123963853002333
saxpy,f32,aligned,1,4096,auto,0.00016830598733431746,8.415299366715873e-06,48.67325357669946,0.16025228286226514
saxpy,f32,aligned,1,8192,scalar,0.0014261276908385666,7.130638454192833e-05,11.488452335124471,0.6789426262537122
saxpy,f32,aligned,1,8192,auto,0.00037925588078525127,1.8962794039262563e-05,43.20038483273309,0.18055394715118162
saxpy,f32,aligned,1,16384,scalar,0.00294947531753137,0.0001474737658765685,11.109772577254832,0.7020845787580776
saxpy,f32,aligned,1,16384,auto,0.0007697453910468626,3.848726955234313e-05,42.569920367350484,0.18322796783952416
saxpy,f32,aligned,1,32768,scalar,0.005823874074443804,0.0002911937037221902,11.252990563031512,0.6931490750223033
saxpy,f32,aligned,1,32768,auto,0.0015667744291901666,7.833872145950834e-05,41.82861219778409,0.18647522808354644
saxpy,f32,aligned,1,65536,scalar,0.010974220129362099,0.0005487110064681049,11.943627743470357,0.6530679093095731
saxpy,f32,aligned,1,65536,auto,0.011544642471798889,0.0005772321235899445,11.353491484918747,0.6870133306887156
saxpy,f32,aligned,1,262144,scalar,0.04574075817617769,0.0022870379088088845,11.46216243247702,0.6804998660548895
saxpy,f32,aligned,1,262144,auto,0.042344070744314184,0.002117203537215709,12.381615437160105,0.6299662624466907
saxpy,f32,aligned,1,1048576,scalar,0.7078791902880226,0.03539395951440113,2.9625846172236097,2.6328361912949445
saxpy,f32,aligned,1,1048576,auto,0.689731861529522,0.034486593076476106,3.0405322951870586,2.565340290036331
saxpy,f32,aligned,1,4194304,scalar,2.7065695869039255,0.1353284793451963,3.0993505729870483,2.516656253081634
saxpy,f32,aligned,1,4194304,auto,2.633789470621611,0.13168947353108057,3.184995647362874,2.448982938629218
saxpy,f32,aligned,1,16777216,scalar,10.857028446706325,0.5428514223353162,3.0905723573174706,2.5238043631407416
saxpy,f32,aligned,1,16777216,auto,11.25050365949459,0.5625251829747295,2.982482652826173,2.6152708692567885
saxpy,f32,aligned,2,4096,scalar,0.0006889963635143991,3.444981817571996e-05,11.889757963619205,0.6560268109634171
saxpy,f32,aligned,2,4096,auto,0.00016326589575883018,8.163294787941509e-06,50.17581878888469,0.15545336754380804
saxpy,f32,aligned,2,8192,scalar,0.0014582955025620695,7.291477512810348e-05,11.235034306294617,0.6942568920888759
saxpy,f32,aligned,2,8192,auto,0.0005789942970073521,2.8949714850367604e-05,28.29734262441614,0.2756442576084806
saxpy,f32,aligned,2,16384,scalar,0.0031478792392146573,0.0001573939619607329,10.409547987671555,0.7493120747642312
saxpy,f32,aligned,2,16384,auto,0.0011175511435861044,5.5877557179305224e-05,29.321253159699626,0.26601864379796186
saxpy,f32,aligned,2,32768,scalar,0.0055576163409107445,0.00027788081704553723,11.792105820183407,0.6614594644028291
saxpy,f32,aligned,2,32768,auto,0.002057056156323104,0.0001028528078161552,31.859120519656923,0.24482785063659993
saxpy,f32,aligned,2,65536,scalar,0.015914213367039777,0.0007957106683519889,8.236159524633852,0.9470433369667836
saxpy,f32,aligned,2,65536,auto,0.015283506314839703,0.0007641753157419853,8.57604251929638,0.9095104160747504
saxpy,f32,aligned,2,262144,scalar,0.05951069460156847,0.0029755347300784237,8.809979508896234,0.885359607490986
