kernel,dtype,align,stride,N,build,median_ms,stdev_ms,gflops,cpe
saxpy,f32,aligned,1,4096,scalar,0.0007481988703050656,3.740994351525328e-05,10.948960664241378,0.7123963853002333
saxpy,f32,aligned,1,4096,auto,0.00016830598733431746,8.415299366715873e-06,48.67325357669946,0.16025228286226514
saxpy,f32,aligned,1,4096,native,0.0001413910898619743,7.069554493098715e-06,57.938587275881495,0.1346253052885009
saxpy,f32,aligned,1,8192,scalar,0.0014261276908385666,7.130638454192833e-05,11.488452335124471,0.6789426262537122
saxpy,f32,aligned,1,8192,auto,0.00037925588078525127,1.8962794039262563e-05,43.20038483273309,0.18055394715118162
saxpy,f32,aligned,1,8192,native,0.0003843437505758655,1.9217187528793278e-05,42.62850631876208,0.18297615078685003
saxpy,f32,aligned,1,16384,scalar,0.00294947531753137,0.0001474737658765685,11.109772577254832,0.7020845787580776
saxpy,f32,aligned,1,16384,auto,0.0007697453910468626,3.848726955234313e-05,42.569920367350484,0.18322796783952416
saxpy,f32,aligned,1,16384,native,0.0007965189713235323,3.982594856617662e-05,41.1390075813903,0.18960107349620214
saxpy,f32,aligned,1,32768,scalar,0.005823874074443804,0.0002911937037221902,11.252990563031512,0.6931490750223033
saxpy,f32,aligned,1,32768,auto,0.0015667744291901666,7.833872145950834e-05,41.82861219778409,0.18647522808354644
saxpy,f32,aligned,1,32768,native,0.0016751079246574252,8.375539623287126e-05,39.12344932246841,0.1993689241383044
saxpy,f32,aligned,1,65536,scalar,0.010974220129362099,0.0005487110064681049,11.943627743470357,0.6530679093095731
saxpy,f32,aligned,1,65536,auto,0.011544642471798889,0.0005772321235899445,11.353491484918747,0.6870133306887156
saxpy,f32,aligned,1,65536,native,0.010802525423686557,0.0005401262711843279,12.133459062507749,0.6428504814510737
saxpy,f32,aligned,1,262144,scalar,0.04574075817617769,0.0022870379088088845,11.46216243247702,0.6804998660548895
saxpy,f32,aligned,1,262144,auto,0.042344070744314184,0.002117203537215709,12.381615437160105,0.6299662624466907
saxpy,f32,aligned,1,262144,native,0.04615747222400293,0.0023078736112001467,11.358680940230482,0.686699454016157
saxpy,f32,aligned,1,1048576,scalar,0.7078791902880226,0.03539395951440113,2.9625846172236097,2.6328361912949445
saxpy,f32,aligned,1,1048576,auto,0.689731861529522,0.034486593076476106,3.0405322951870586,2.565340290036331
saxpy,f32,aligned,1,1048576,native,0.7667541737892172,0.03833770868946086,2.735103468216024,2.8518116739062758
saxpy,f32,aligned,1,4194304,scalar,2.7065695869039255,0.1353284793451963,3.0993505729870483,2.516656253081634
saxpy,f32,aligned,1,4194304,auto,2.633789470621611,0.13168947353108057,3.184995647362874,2.448982938629218
saxpy,f32,aligned,1,4194304,native,2.675606981741328,0.1337803490870664,3.1352168151918036,2.487866217801852
saxpy,f32,aligned,1,16777216,scalar,10.857028446706325,0.5428514223353162,3.0905723573174706,2.5238043631407416
saxpy,f32,aligned,1,16777216,auto,11.25050365949459,0.5625251829747295,2.982482652826173,2.6152708692567885
saxpy,f32,aligned,1,16777216,native,10.639270485481491,0.5319635242740746,3.1538282672471656,2.4731847580300457
saxpy,f32,aligned,2,4096,scalar,0.0006889963635143991,3.444981817571996e-05,11.889757963619205,0.6560268109634171
saxpy,f32,aligned,2,4096,auto,0.00016326589575883018,8.163294787941509e-06,50.17581878888469,0.15545336754380804
