filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
bloom,1000000,0.05,0.021814,8.38861,0.9,12,10,1,1,1,5000000,0,8.82053e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.05,0.021802,8.38861,0.9,12,10,1,1,1,5000000,1,8.33193e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.02,0.019662,8.38861,0.9,12,10,1,1,1,5000000,0,8.98767e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.02,0.019678,8.38861,0.9,12,10,1,1,1,5000000,1,8.47876e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000767,16.7772,0.9,12,10,1,1,1,5000000,0,8.10105e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000816,16.7772,0.9,12,10,1,1,1,5000000,1,8.38138e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.005,0.000684,16.7772,0.9,12,10,1,1,1,5000000,0,8.27382e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.005,0.000678,16.7772,0.9,12,10,1,1,1,5000000,1,7.98354e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.001,0.000588,16.7772,0.9,12,10,1,1,1,5000000,0,7.05976e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.001,0.00061,16.7772,0.9,12,10,1,1,1,5000000,1,5.87873e+07,0,0,0,0,0,0,0,0,0,0
