filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
cuckoo,1000000,0.01,0.059427,12.5829,0.9,6,10,1,1,1,5000000,0,4.76944e+06,0,0,0,0,0,0,0,0,38755138,0
cuckoo,1000000,0.01,0.05971,12.5829,0.9,6,10,1,1,1,5000000,1,5.9884e+06,0,0,0,0,0,0,0,0,38746085,0
cuckoo,1000000,0.01,0.014925,16.7772,0.9,8,10,1,1,1,5000000,0,5.51395e+06,0,0,0,0,0,0,0,0,39691322,0
cuckoo,1000000,0.01,0.014763,16.7772,0.9,8,10,1,1,1,5000000,1,4.80596e+06,0,0,0,0,0,0,0,0,39691335,0
cuckoo,1000000,0.01,0.00374,20.9715,0.9,10,10,1,1,1,5000000,0,4.09986e+06,0,0,0,0,0,0,0,0,39922517,0
cuckoo,1000000,0.01,0.003756,20.9715,0.9,10,10,1,1,1,5000000,1,5.37326e+06,0,0,0,0,0,0,0,0,39920106,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,1,5000000,0,4.58768e+06,0,0,0,0,0,0,0,0,39982180,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,1,5000000,1,4.05722e+06,0,0,0,0,0,0,0,0,39978905,0
cuckoo,1000000,0.01,0.000215,29.3601,0.9,14,10,1,1,1,5000000,0,4.84703e+06,0,0,0,0,0,0,0,0,39995595,0
cuckoo,1000000,0.01,0.000253,29.3601,0.9,14,10,1,1,1,5000000,1,3.88658e+06,0,0,0,0,0,0,0,0,39994760,0
