filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
qf,1000000,0.01,4.8e-05,62.9146,0.4,12,12,1,1,0.5,3000000,0,2.20561e+06,0,0,0,0,0,0,0,0,0,3490153
qf,1000000,0.01,4.6e-05,62.9146,0.4,12,12,1,1,0.5,3000000,1,2.10976e+06,0,0,0,0,0,0,0,0,0,3491637
qf,1000000,0.01,9.1e-05,31.4573,0.55,12,12,1,1,0.5,3000000,0,1.85498e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.55,12,12,1,1,0.5,3000000,1,2.01655e+06,0,0,0,0,0,0,0,0,0,4266848
qf,1000000,0.01,9.1e-05,31.4573,0.7,12,12,1,1,0.5,3000000,0,1.95228e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.7,12,12,1,1,0.5,3000000,1,1.82037e+06,0,0,0,0,0,0,0,0,0,4266848
qf,1000000,0.01,9.1e-05,31.4573,0.8,12,12,1,1,0.5,3000000,0,1.96611e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.8,12,12,1,1,0.5,3000000,1,1.88425e+06,0,0,0,0,0,0,0,0,0,4266848
qf,1000000,0.01,9.1e-05,31.4573,0.85,12,12,1,1,0.5,3000000,0,2.37191e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.85,12,12,1,1,0.5,3000000,1,2.45107e+06,0,0,0,0,0,0,0,0,0,4266848
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,0.5,3000000,0,2.39832e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,0.5,3000000,1,2.28869e+06,0,0,0,0,0,0,0,0,0,4266848
qf,1000000,0.01,9.1e-05,31.4573,0.95,12,12,1,1,0.5,3000000,0,2.34748e+06,0,0,0,0,0,0,0,0,0,4264410
qf,1000000,0.01,9.3e-05,31.4573,0.95,12,12,1,1,0.5,3000000,1,2.42611e+06,0,0,0,0,0,0,0,0,0,4266848
