filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
qf,1000000,0.01,0.006175,18.8744,0.9,12,6,1,1,1,5000000,0,3.32706e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,0.006056,18.8744,0.9,12,6,1,1,1,5000000,1,3.42077e+06,0,0,0,0,0,0,0,0,0,6162986
qf,1000000,0.01,0.001535,23.0687,0.9,12,8,1,1,1,5000000,0,2.87699e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,0.001495,23.0687,0.9,12,8,1,1,1,5000000,1,3.20012e+06,0,0,0,0,0,0,0,0,0,6162986
qf,1000000,0.01,0.000404,27.263,0.9,12,10,1,1,1,5000000,0,3.14236e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,0.000371,27.263,0.9,12,10,1,1,1,5000000,1,2.99426e+06,0,0,0,0,0,0,0,0,0,6162986
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,1,5000000,0,2.97635e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,1,5000000,1,2.9072e+06,0,0,0,0,0,0,0,0,0,6162986
qf,1000000,0.01,2.3e-05,35.6516,0.9,12,14,1,1,1,5000000,0,2.68202e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,2.5e-05,35.6516,0.9,12,14,1,1,1,5000000,1,2.94967e+06,0,0,0,0,0,0,0,0,0,6162986
