filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
bloom,1000000,0.01,0.000767,16.7772,0.9,12,10,1,1,0,5000000,0,8.04872e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000816,16.7772,0.9,12,10,1,1,0,5000000,1,7.95163e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.02132,25.1658,0.9,12,10,1,1,0,5000000,0,8.85387e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021462,25.1658,0.9,12,10,1,1,0,5000000,1,8.7575e+07,0,0,0,0,0,0,0,0,0,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,0,5000000,0,4.59891e+06,0,0,0,0,0,0,0,0,10023097,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,0,5000000,1,4.80404e+06,0,0,0,0,0,0,0,0,10029895,0
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,0,5000000,0,1.4965e+06,0,0,0,0,0,0,0,0,0,8051604
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,0,5000000,1,1.66283e+06,0,0,0,0,0,0,0,0,0,8050717
bloom,1000000,0.01,0.000767,16.7772,0.9,12,10,1,1,0.5,5000000,0,3.21274e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000816,16.7772,0.9,12,10,1,1,0.5,5000000,1,3.70774e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.02132,25.1658,0.9,12,10,1,1,0.5,5000000,0,3.73753e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021462,25.1658,0.9,12,10,1,1,0.5,5000000,1,3.48669e+07,0,0,0,0,0,0,0,0,0,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,0.5,5000000,0,4.15631e+06,0,0,0,0,0,0,0,0,24995665,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,0.5,5000000,1,4.35851e+06,0,0,0,0,0,0,0,0,24997801,0
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,0.5,5000000,0,2.29445e+06,0,0,0,0,0,0,0,0,0,7107583
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,0.5,5000000,1,2.14997e+06,0,0,0,0,0,0,0,0,0,7108141
bloom,1000000,0.01,0.000767,16.7772,0.9,12,10,1,1,0.9,5000000,0,6.6546e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000816,16.7772,0.9,12,10,1,1,0.9,5000000,1,6.3104e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.02132,25.1658,0.9,12,10,1,1,0.9,5000000,0,7.03314e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021462,25.1658,0.9,12,10,1,1,0.9,5000000,1,7.13038e+07,0,0,0,0,0,0,0,0,0,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,0.9,5000000,0,4.81469e+06,0,0,0,0,0,0,0,0,36986519,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,0.9,5000000,1,4.70234e+06,0,0,0,0,0,0,0,0,36983732,0
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,0.9,5000000,0,2.77763e+06,0,0,0,0,0,0,0,0,0,6350771
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,0.9,5000000,1,2.9406e+06,0,0,0,0,0,0,0,0,0,6351994
bloom,1000000,0.01,0.000767,16.7772,0.9,12,10,1,1,1,5000000,0,7.94599e+07,0,0,0,0,0,0,0,0,0,0
bloom,1000000,0.01,0.000816,16.7772,0.9,12,10,1,1,1,5000000,1,8.61447e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.02132,25.1658,0.9,12,10,1,1,1,5000000,0,6.73395e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021462,25.1658,0.9,12,10,1,1,1,5000000,1,8.78801e+07,0,0,0,0,0,0,0,0,0,0
cuckoo,1000000,0.01,0.000872,25.1658,0.9,12,10,1,1,1,5000000,0,4.80534e+06,0,0,0,0,0,0,0,0,39982180,0
cuckoo,1000000,0.01,0.000982,25.1658,0.9,12,10,1,1,1,5000000,1,4.54948e+06,0,0,0,0,0,0,0,0,39978905,0
qf,1000000,0.01,9.1e-05,31.4573,0.9,12,12,1,1,1,5000000,0,3.21346e+06,0,0,0,0,0,0,0,0,0,6161455
qf,1000000,0.01,9.3e-05,31.4573,0.9,12,12,1,1,1,5000000,1,3.5219e+06,0,0,0,0,0,0,0,0,0,6162986
