filter,n,target_fpr,achieved_fpr,bpe,load,fp_bits,r_bits,threads,qfrac,neg_share,ops,run,throughput_ops_s,p50_ns,p95_ns,p99_ns,insert_fail,kicks,max_kicks,stash_size,stash_hits,fp_checks,scan_steps
xor,1000000,0.01,0.033867,12.5829,0.9,6,10,1,1,1,5000000,0,8.99265e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.033718,12.5829,0.9,6,10,1,1,1,5000000,1,8.82286e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.024335,16.7772,0.9,8,10,1,1,1,5000000,0,8.71224e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.024309,16.7772,0.9,8,10,1,1,1,5000000,1,9.21423e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021892,20.9715,0.9,10,10,1,1,1,5000000,0,7.60968e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.022055,20.9715,0.9,10,10,1,1,1,5000000,1,8.00085e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.02132,25.1658,0.9,12,10,1,1,1,5000000,0,9.12918e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021462,25.1658,0.9,12,10,1,1,1,5000000,1,9.34772e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021176,29.3601,0.9,14,10,1,1,1,5000000,0,9.13593e+07,0,0,0,0,0,0,0,0,0,0
xor,1000000,0.01,0.021327,29.3601,0.9,14,10,1,1,1,5000000,1,6.10676e+07,0,0,0,0,0,0,0,0,0,0
