mode,workload,keys,threads,read_pct,ops_per_thread,throughput_ops_per_s,cycles,instructions,cache_references,cache_misses
coarse,lookup,10000,1,100,500000,5498010.325048348,138871261,214547121,4760766,314098
coarse,lookup,10000,2,100,500000,6563008.670098747,537273388,489357365,8246100,571081
coarse,lookup,10000,4,100,500000,6397019.868985785,1077673008,914300747,13013417,3244098
coarse,lookup,10000,8,100,500000,6245744.764335159,4576309904,2207469891,55376875,12666884
coarse,lookup,10000,16,100,500000,7734783.703253342,20133532218,5675910444,190837613,44630639
coarse,lookup,100000,1,100,500000,4191719.983176306,217296376,269826422,7165403,1116918
coarse,lookup,100000,2,100,500000,5105178.1827417165,432056458,491139976,8788663,1952012
coarse,lookup,100000,4,100,500000,5521941.046202907,1256227751,977317610,20584267,5538501
coarse,lookup,100000,8,100,500000,5352273.000757441,4962492566,2368327821,62733079,18090498
coarse,lookup,100000,16,100,500000,6576933.161010007,20184268064,5879892905,208131450,53338926
coarse,lookup,1000000,1,100,500000,1074114.4813858208,847905900,716355006,19114195,5597228
coarse,lookup,1000000,2,100,500000,1831556.2079209047,1150413137,946635415,22858781,6663766
coarse,lookup,1000000,4,100,500000,2802146.6931958077,1688315457,1402820964,27327820,8811187
coarse,lookup,1000000,8,100,500000,3732487.740224408,5475196876,2768219334,73033413,20535929
coarse,lookup,1000000,16,100,500000,5311253.958452213,23908649530,6780959315,245681922,60073074
coarse,insert,10000,1,0,500000,1112675.215970019,800817026,645334908,20180830,5002945
coarse,insert,10000,2,0,500000,585982.2698465768,3118744649,1479648623,71182677,22766849
coarse,insert,10000,4,0,500000,487961.2484442684,10168950477,3358134710,229760120,69305505
coarse,insert,10000,8,0,500000,384427.7012821397,40164356820,9217887576,878451068,197881868
coarse,insert,10000,16,0,500000,317705.06116335856,182895099305,31864466392,3571047186,619144025
coarse,insert,100000,1,0,500000,1033248.4108514518,940364174,653669062,22350243,6135784
coarse,insert,100000,2,0,500000,599489.1585025362,3057659353,1470713885,66360053,21890168
coarse,insert,100000,4,0,500000,488549.5230869399,10086965009,3345804211,227531160,68254793
coarse,insert,100000,8,0,500000,382426.81745828694,40345518516,9246774463,873221251,199709467
coarse,insert,100000,16,0,500000,314395.3410082684,183606829667,31694262577,3540244354,605691303
coarse,insert,1000000,1,0,500000,836471.684474965,1122700413,718913322,24796248,8085027
coarse,insert,1000000,2,0,500000,574645.9144075537,3313992387,1542043895,66976158,22052101
coarse,insert,1000000,4,0,500000,491103.8424773743,10031347859,3314315098,210103943,64934078
coarse,insert,1000000,8,0,500000,388056.0216904893,39425562331,9187665324,830633642,197936765
coarse,insert,1000000,16,0,500000,322563.37614563596,183355175850,31581071024,3460646637,601952807
coarse,mixed,10000,1,70,500000,3138625.6172919567,259617479,373963825,7784299,1471715
coarse,mixed,10000,2,70,500000,1976013.6328971852,912826977,802689091,21304528,6073070
coarse,mixed,10000,4,70,500000,1710649.8185170877,3222128450,1808814568,66175126,18862778
coarse,mixed,10000,8,70,500000,1357520.5871491784,13113706938,4691902065,245916172,50462729
coarse,mixed,10000,16,70,500000,1076593.665844915,63448433327,14527904143,1108331885,168222541
coarse,mixed,100000,1,70,500000,2263218.719342172,364279919,422712945,10262913,2695522
coarse,mixed,100000,2,70,500000,1580135.7744012843,1315948454,908495857,27024042,8785338
coarse,mixed,100000,4,70,500000,1448912.5441184246,3904270556,1942466866,77352249,22526987
coarse,mixed,100000,8,70,500000,1167834.9874247331,15699784560,5052533267,285183040,58181407
coarse,mixed,100000,16,70,500000,949742.103782229,74085836018,16068668612,1252524196,190098139
coarse,mixed,1000000,1,70,500000,939730.3613245969,957625512,829840126,20983372,7161390
coarse,mixed,1000000,2,70,500000,989718.5385771008,2060812405,1304540885,38254803,12892810
coarse,mixed,1000000,4,70,500000,1133492.0996454132,4839072256,2320945448,89796521,25969757
coarse,mixed,1000000,8,70,500000,1015469.4447182902,17772046038,5556663540,310358373,64133487
coarse,mixed,1000000,16,70,500000,875157.2715458132,76642584201,16665243927,1301927715,198973605
striped,lookup,10000,1,100,500000,5998967.2178138085,154051525,218585154,4850074,510806
striped,lookup,10000,2,100,500000,9201670.857774306,260063896,373703069,8155774,1682851
striped,lookup,10000,4,100,500000,13482765.611034017,638670664,715852567,15907691,4367398
striped,lookup,10000,8,100,500000,18985280.0669321,1745386363,1473883424,35828088,11274553
striped,lookup,10000,16,100,500000,24181408.101493537,4218518948,2966886409,84571335,25469265
striped,lookup,100000,1,100,500000,4495186.8730533635,181274249,274438614,6470166,960459
striped,lookup,100000,2,100,500000,6968272.112228247,328493275,431190142,11554459,1772343
striped,lookup,100000,4,100,500000,11037365.01803646,741862897,771244153,20053102,5996094
striped,lookup,100000,8,100,500000,15409639.27557466,1654996029,1442866283,41233977,12106117
striped,lookup,100000,16,100,500000,21825505.64436311,5386530221,3239642875,101340920,37685847
striped,lookup,1000000,1,100,500000,1204477.4319003825,768729047,727055896,19088961,5256729
striped,lookup,1000000,2,100,500000,2265124.223686375,864111555,882797183,22356060,6111691
striped,lookup,1000000,4,100,500000,4106798.0470730523,1305178898,1226036139,31703783,10687537
striped,lookup,1000000,8,100,500000,7010144.774817373,2256706726,1908014787,52161354,16067044
striped,lookup,1000000,16,100,500000,10889076.815593252,5192819246,3493859294,106819377,38430053
striped,insert,10000,1,0,500000,1110037.8180127288,769168096,651148382,20145577,5051768
striped,insert,10000,2,0,500000,1589750.888737419,1830952352,1187067222,51291230,16521101
striped,insert,10000,4,0,500000,1836324.3909890435,4169933688,2263973666,137337996,52491632
striped,insert,10000,8,0,500000,2143291.588444561,11288673995,4288972593,368183564,144994916
striped,insert,10000,16,0,500000,2144138.8140859758,28803839079,8459164556,1096703082,442284396
striped,insert,100000,1,0,500000,1123181.67500834,815544649,660198030,21203525,5585722
striped,insert,100000,2,0,500000,1527278.6514493218,1854426698,1194955669,51299856,16540597
striped,insert,100000,4,0,500000,1813360.5672048866,4361635197,2244237629,135352667,50949660
striped,insert,100000,8,0,500000,2126155.390777679,11287793558,4309866867,370926334,145720181
striped,insert,100000,16,0,500000,2142062.930375959,28112198338,8467448353,1078010482,437170300
striped,insert,1000000,1,0,500000,840151.937847286,1000764649,731754253,23269206,7642435
striped,insert,1000000,2,0,500000,1164262.5787343795,2006446883,1260446413,50999778,17724267
striped,insert,1000000,4,0,500000,1561823.3766275675,4399423012,2296968391,134466414,53971432
striped,insert,1000000,8,0,500000,2045959.0219882084,11501355936,4364144467,356929523,136601988
striped,insert,1000000,16,0,500000,1973078.8723614474,29082583433,8554338338,1061734099,432425018
striped,mixed,10000,1,70,500000,3108506.285082434,275968840,379467566,8470063,1583549
striped,mixed,10000,2,70,500000,4045736.517288992,609739545,703698846,18970125,5137584
striped,mixed,10000,4,70,500000,4297301.951208611,1559123345,1378957989,49878072,17288133
striped,mixed,10000,8,70,500000,5662486.990134394,4047582666,2771404288,122941707,42237179
striped,mixed,10000,16,70,500000,6324403.52931672,11282536671,5804867737,343925478,116492124
striped,mixed,100000,1,70,500000,2255400.354287098,362915115,428465157,10002819,2565920
striped,mixed,100000,2,70,500000,3308291.8139313525,844746125,755002962,24068120,8359108
striped,mixed,100000,4,70,500000,3908414.521181616,1790731542,1421567017,53085567,19082700
striped,mixed,100000,8,70,500000,5277081.272317116,4766402907,2853094388,136696621,49385044
striped,mixed,100000,16,70,500000,5776512.568768035,12832823075,5940957727,375129228,126018576
striped,mixed,1000000,1,70,500000,929683.2580301581,988889106,841817399,23613674,7203588
striped,mixed,1000000,2,70,500000,1611973.0861385881,1534174969,1158312909,34372679,12309019
striped,mixed,1000000,4,70,500000,2596235.4715458234,2646074245,1816730851,72361582,23492325
striped,mixed,1000000,8,70,500000,3893643.485089387,5683828484,3229545071,143657150,49795750
striped,mixed,1000000,16,70,500000,4453095.1953977095,13623954785,6259328835,370169578,126232306
